TARGETID,ra,dec,Z_QSO,SNR_FOREST,SNR_REDSIDE,DLAID,zDLA,Z_DLA_ERR,NHI,NHI_ERR,DELTACHI2
39627870095543670,48.98068754947315,3.3942522877859456,3.228742511387912,7.014966653663157,9.586790851394257,b'39627870095543670000',2.196540984666569,0.271934093452739,22.327884854980198,1.7471894573871125,0.04617755020206382
39627870095543670,48.98068754947315,3.3942522877859456,3.228742511387912,7.014966653663157,9.586790851394257,b'39627870095543670001',2.7301674451640645,0.2439988126048446,21.127819087691915,3.071210009269874,0.013282385490694715
39627851875486301,42.32695522988994,2.843233789292411,2.916237957786446,12.972183160830545,17.953801626830888,b'39627851875486301000',2.449401084245192,0.018599027642033028,21.241093252037537,0.7023242074233682,0.4625524434165653
39627851875487669,42.36757264218411,2.75371941046926,3.2858925076571763,8.59616880025223,14.048972400288026,b'39627851875487669000',2.7750246698446066,0.01923182417417014,20.38115029385938,1.6156123106721996,0.11217387497652465
39627869994883102,42.99675577604231,3.4478089023315777,3.2124731645759246,14.072781022673977,19.35067995366801,b'39627869994883102000',2.382893006630119,0.02130168522599895,20.50228546281278,1.9575551527412578,0.07294054457944177
39627888068134006,41.59245609078001,4.175099499689948,3.6044217911341323,10.101538234349217,17.116717720642903,b'39627888068134006000',3.266513062170097,0.011823909947715202,20.391271979894913,1.6274344603690278,0.07232851603348656
39627888068134006,41.59245609078001,4.175099499689948,3.6044217911341323,10.101538234349217,17.116717720642903,b'39627888068134006001',3.073433340417164,0.017116232682756798,20.351585644376865,1.6460530860607512,0.07012148418431274
39627894141489897,44.28822568108469,4.58377227598667,2.5280451437591047,17.775774876609596,27.417650756740986,b'39627894141489897000',2.099058110958704,0.01401738092701544,20.67936450566848,1.4384648684767292,0.05514822752258708
39627912202162021,43.77708579051761,5.147894587860368,2.94914776522237,8.249299393741811,9.812597983860217,b'39627912202162021000',2.390434541949986,0.02008379860277367,20.634562339125107,1.502078265385971,0.30222758879618694
39627912202162021,43.77708579051761,5.147894587860368,2.94914776522237,8.249299393741811,9.812597983860217,b'39627912202162021001',2.348160111380189,0.032931175956473276,20.440144634968846,2.2302607065610482,0.03230603081323968
39627906120421111,40.26053834471062,5.046123724064611,2.846915347326663,11.174073949646274,21.998694146378647,b'39627906120421111000',2.465272941341721,0.02382698846657235,21.92686779233938,0.43142276587881445,1.013850132095786
39627948248008496,41.84786092646281,6.649532859087183,2.879375462986535,8.834522955003457,11.610109009580096,b'39627948248008496000',2.2967077518546333,0.014302676455890128,20.71139656165079,1.2601697339973916,0.08200665466854495
39627912126664768,39.34369386020064,5.290338324399679,2.6561588340257116,5.6076088275424665,10.850890600931374,b'39627912126664768000',2.161954538447303,0.02865915768491286,21.229662193534303,1.0406464137498557,0.5573414503659602
39627936197776426,39.68381458183291,6.155953651522755,2.85268994785826,30.52922493712364,45.424991464257985,b'39627936197776426000',2.4584142341805757,0.005167918527363761,20.52354927887612,0.5997963938515372,0.2119274303855343
39627936197776426,39.68381458183291,6.155953651522755,2.85268994785826,30.52922493712364,45.424991464257985,b'39627936197776426001',1.9751359649684492,0.011237792569290193,20.491455681214315,1.3905768941085463,0.13197589026949297
39627930170559318,38.77401413427679,5.876654123513076,3.3416141594172077,6.715403530261532,9.46690180037476,b'39627930170559318000',2.603477386681978,0.035117877374852974,20.415274284331804,3.320558523390021,0.024743351144743686
39627930178947112,39.24708814619079,6.077714736926439,3.029240416484636,5.224753741057812,5.932835690375381,b'39627930178947112000',2.5548482268859716,0.025947203362344184,20.50360420357309,1.964967743290587,0.14907552841311333
39627954212308939,39.385897126171656,7.038179575149032,3.6068448612788644,20.914343602361633,33.35150622492273,b'39627954212308939000',3.0291417881558855,0.011699804945692383,20.637945451003816,1.143633124734926,0.10092145814230746
39627948235425799,41.09831147321243,6.634644134795632,2.569866404041461,6.796913476118998,11.612362653519147,b'39627948235425799000',2.4821976280072584,0.012228051707969836,20.616733205097706,1.012831552502897,0.34637148185941147
39627954245864301,41.47782095446631,7.01842323689105,2.7000923448326644,6.034487994987609,9.688473621353177,b'39627954245864301000',2.1667039705310356,0.03532404046431834,21.790819854722532,0.7389701958361126,1.0754417960465332
39627954250057129,41.61170102565621,6.909273061921796,2.3806721309620933,5.402454888097539,15.875234172372634,b'39627954250057129000',2.2067694759950167,0.01829617021380328,21.93668959332044,0.34621163799103816,2.7208629860505766
39627954220696862,39.839146862484014,7.105134522490636,3.02158592948452,7.646860755679477,8.884655509245443,b'39627954220696862000',2.6338870547303324,0.018075352367688906,20.301908221166368,1.9425846261001778,0.12009479027302028
39627960210166834,39.496201639044465,7.205462399560595,3.51543991268859,7.068914086510938,12.101319780413546,b'39627960210166834000',2.6210987579183325,0.04605762887338762,21.146421938889954,1.6813594590954835,0.14148576773621557
39627966216408934,39.9357953778835,7.449894278971482,3.3067958833883426,17.478536721162147,22.245467763824987,b'39627966216408934000',2.2435916219590926,0.05676204434202092,20.94381786940025,2.8460226294173525,0.015673103169522973
39627954191336375,38.07365379910705,6.887229578278089,2.906504834123681,16.977416909152716,22.421673755178368,b'39627954191336375000',2.816378180371065,0.007913670320947103,21.095712717411256,0.6467246292886772,0.35363629782575456
39627954203922195,38.9970773044746,7.000373825863687,2.7296656244611226,10.115792152973533,15.22642332777416,b'39627954203922195000',2.2311507768926733,0.013747245686887337,20.613551601139466,1.1050985612529098,0.3314174333033282
39627960197579833,38.57030913294588,7.194249721700647,3.583117044820245,5.827028286389253,10.339236933500581,b'39627960197579833000',2.7884638371409918,0.04485326691953165,20.966143219356578,2.063064717472878,0.10029737625807167
39627954182951061,37.70510366964938,7.104326574333549,3.0260656826296164,11.38468425992142,12.414399187575102,b'39627954182951061000',2.0572929188184252,0.03488403125165905,20.392712045899817,3.2926655772522975,0.07258394589677464
39627954182951061,37.70510366964938,7.104326574333549,3.0260656826296164,11.38468425992142,12.414399187575102,b'39627954182951061001',2.4263572936578583,0.015343244450240929,20.690046227885503,1.842003770947572,0.032677937283184466
39627954182951061,37.70510366964938,7.104326574333549,3.0260656826296164,11.38468425992142,12.414399187575102,b'39627954182951061002',2.1033425466401514,0.036997596051409516,20.55196472283621,3.554588197118755,0.014070518977364
39627966182853862,37.913776117629894,7.445614920411605,3.0551484597262175,15.402640239513584,18.623977957498948,b'39627966182853862000',2.556374098011497,0.012550500125595996,20.475382402337576,1.2429639514503197,0.15806943871319779
39627966187045984,38.06362935064231,7.471146877112083,2.977843478612385,5.327455204337813,6.621770101847566,b'39627966187045984000',2.2814525696012997,0.04524394044438304,20.866975558815945,2.4874611514210945,0.12648296031567663
39627990161689449,39.284919494093856,8.490645513089094,3.01015675963457,14.05567435144733,16.00683283414666,b'39627990161689449000',2.357807274697997,0.017676057376327995,20.962279937867272,1.0069606649399498,0.32480337198378084
39627990161689449,39.284919494093856,8.490645513089094,3.01015675963457,14.05567435144733,16.00683283414666,b'39627990161689449002',2.113927329570579,0.029427428428436368,20.48415735929138,3.396312517081008,0.01108948382922148
39627990165884332,39.55589201108762,8.54812459391942,2.36417807898873,12.204818586756964,24.17024965709629,b'39627990165884332000',2.256978540490501,0.006202269042678265,20.813077623080638,0.49475338164990645,0.8053211740412753
39628031941150462,40.1891579937655,10.29259245429759,2.647780744902238,6.46572956634391,11.98885746387428,b'39628031941150462000',1.9940300499142845,0.043449817574866906,20.830407093437312,2.395358482994795,0.1326083808477081
39627978153397093,36.94327938509984,7.897408678207677,2.816403487410432,6.118815164050497,9.897107994665856,b'39627978153397093000',2.303397437418909,0.06661139356723166,21.02959232826473,1.942687025618276,0.03801992874060989
39627984151250131,37.427831115917975,8.156637154184581,3.1480474553811923,5.198428282587233,6.714725681097656,b'39627984151250131000',2.5453156428522985,0.04219132138111417,20.418970677870337,3.480628846471993,0.08799284654350403
