ID,ra,dec,zCNN,NHI_best,Flux,SNR,status,SiII1526_sigma,SiII1526_dv,SiII1526_3sigUL,CII1334_sigma,CII1334_dv,CII1334_3sigUL,OI1302_sigma,OI1302_dv,OI1302_3sigUL,AlII1670_sigma,AlII1670_dv,AlII1670_3sigUL,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,max_3sig_UL
59164117.0,150.6602137,-2.3878558,2.98276107,20.738031,2.293,6.678,ok,1.5805802,450.0,0.3038110676021853,8.784794,0.0,0.10880789242533674,45.657715,-200.0,0.05878451063898327,2.5876338,0.0,0.1862274323580279,4,"CII1334,OI1302",True,True,False,0.3038110676021853
59345703.0,207.0006847,-2.371323,3.04281869,21.092202,1.601,5.366,ok,0.48865372,-200.0,0.23177187279337408,22.9824,50.0,0.10819011269155585,6.142308,500.0,0.16511513813495646,4.4418774,-150.0,0.2120012990189761,4,"CII1334,OI1302,AlII1670",False,True,False,0.23177187279337408
53236053.0,207.5786086,-3.1797417,2.82106437,20.92948,1.608,4.299,ok,3.7186804,-50.0,0.44232866314543073,9.45664,0.0,0.2350277936554786,8.459305,-400.0,0.2952370952929335,1.4192153,-100.0,0.46795295618380633,4,"SiII1526,CII1334,OI1302",True,True,False,0.46795295618380633
51957561.0,205.8177599,-3.4539132,3.38514816,20.534817,2.046,5.419,ok,0.650819,100.0,0.2450396207473867,5.1576247,100.0,0.16441900552952837,8.8923855,-100.0,0.1245428269695164,1.9732351,-100.0,0.2547916441886748,4,"CII1334,OI1302",False,True,False,0.2547916441886748
54342487.0,205.2802675,-3.061739,2.7539147,20.388442,3.935,9.464,ok,2.8630495,500.0,0.14926028518194417,9.334871,100.0,0.10734126671543393,26.199343,100.0,0.09544850635836188,1.1898862,-400.0,0.19352720682001667,4,"CII1334,OI1302",True,True,False,0.19352720682001667
60091152.0,205.0072174,-2.1427757,2.39847718,20.412555,8.777,10.378,ok,8.642706,50.0,0.087437371724428,17.26592,50.0,0.07092629852206263,20.032835,50.0,0.056478117167010136,7.964576,50.0,0.09703846459329642,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.09703846459329642
53237109.0,27.7946241,-3.3066819,2.53414456,20.884816,1.446,3.496,ok,0.92544115,250.0,0.3666537262968711,-5.568832,300.0,0.11926873372901109,7.0638175,450.0,0.21583674260385294,1.4616965,-100.0,0.41205704806093846,4,OI1302,False,True,False,0.41205704806093846
56689797.0,199.0459482,-2.7639145,2.77037336,20.8749,1.316,3.167,ok,1.7726228,150.0,0.4627540404952106,-0.3957444,200.0,0.17373945978988953,3.449658,500.0,0.314827835479185,4.408103,50.0,1.3201196068507433,4,"OI1302,AlII1670",False,True,False,1.3201196068507433
56250459.0,29.6777983,-2.8122188,2.82018354,20.344515,0.906,3.045,ok,1.3067083,350.0,0.47703468162614093,-0.006803328,350.0,0.6273736057261006,0.8965982,0.0,0.3982655918513325,1.5046116,50.0,0.7453107080537981,4,,False,False,True,0.7453107080537981
59684081.0,222.1382572,-2.4074322,2.34567849,20.717442,1.405,3.484,ok,2.2259276,50.0,0.33538621709617233,8.085859,50.0,0.2698686097742921,6.053488,50.0,0.46793567060133895,1.7403643,-300.0,0.5712948189736742,4,"CII1334,OI1302",True,True,False,0.5712948189736742
57391553.0,38.0698241,-2.5741135,2.87689778,20.959495,1.571,3.458,ok,1.8069391,-250.0,0.8517056149651718,0.9047822,300.0,0.3061164950490142,1.7732034,-250.0,0.3108756908959179,2.0215604,350.0,0.5651265217243013,4,,False,False,True,0.8517056149651718
57343834.0,225.623283,-2.6328749,2.324944,20.386525,7.681,9.398,ok,17.10127,50.0,0.09392562433090948,29.20044,50.0,0.07352238895401951,34.470554,500.0,0.05300704005770919,13.507538,50.0,0.12249412547703979,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.12249412547703979
54545244.0,27.9032328,-3.0996823,2.18554908,20.797993,1.91,3.038,ok,2.104372,50.0,0.24317520495303324,6.4578085,0.0,0.19929346525256808,3.8182151,500.0,0.17856204772459427,4.7849374,0.0,0.23226711958605112,4,"CII1334,OI1302,AlII1670",True,True,False,0.24317520495303324
60283511.0,27.0176242,-2.2139655,2.31958932,20.939864,4.259,6.769,ok,3.741351,50.0,0.1724024290115428,4.501384,50.0,0.16134790982682676,3.439562,50.0,0.197592362844655,2.5389469,50.0,0.2244615510849513,4,"SiII1526,CII1334,OI1302",True,True,False,0.2244615510849513
53120625.0,25.9217735,-3.3734363,2.50335722,20.579668,2.61,5.388,ok,2.6005826,400.0,0.26948197365413556,6.239191,100.0,0.2854873789892888,2.7253683,100.0,0.2910918815902876,1.7487338,100.0,0.3568544514277056,4,CII1334,True,True,False,0.3568544514277056
54173477.0,22.9218716,-3.0979966,2.16945248,20.767644,2.202,4.006,ok,2.7991595,150.0,0.3125090453291304,6.7284093,400.0,0.31163972972195497,1.4005849,-500.0,0.3612982236882546,2.8387587,50.0,0.39250991776284994,4,CII1334,False,True,False,0.39250991776284994
58177338.0,19.7625766,-2.5762732,3.20227455,20.716623,1.852,6.175,ok,1.8314614,400.0,0.29207894613777,3.1523318,-100.0,0.1932454908590011,4.5072083,-100.0,0.09787931846507697,2.225295,0.0,0.24491040575918044,4,OI1302,True,True,False,0.29207894613777
52023508.0,26.9533537,-3.4097836,3.03816711,20.321391,1.287,4.091,ok,2.0048575,-400.0,0.4588875315386192,1.2616574,-300.0,0.26196862126392306,1.8111175,-500.0,0.24183661287438254,1.3772135,450.0,0.35644535789481374,4,,False,False,True,0.4588875315386192
58566830.0,204.3617605,-2.4488661,2.86887148,20.669716,2.376,6.907,ok,7.3732285,100.0,0.19603317065908943,10.486323,50.0,0.1838137625087125,6.9427757,-200.0,0.19227152890847266,2.7023275,50.0,0.23170274397888616,4,"SiII1526,CII1334,OI1302",True,True,False,0.23170274397888616
56176577.0,359.4554675,-2.7247184,2.63985682,21.003462,1.213,3.106,ok,2.6604872,50.0,0.45235161306044447,1.214173,-100.0,0.19984595415871126,3.7783988,450.0,0.3578832466107668,2.533633,-100.0,0.64682924139117,4,OI1302,False,True,False,0.64682924139117
