ID,zQSO,zCNN,Conf,NHIcnn,Flux,SNR,Plate,MJD,Fiber,ra,dec,NHIfit,NHI_best
57912847,3.38903136,3.04095702,1.0,20.724713,0.692,3.156,3781,55243,130,141.9863806,-2.5095625,20.973164,20.973164
58063431,3.0084069,2.91006814,1.0,20.598381,1.945,7.247,3781,55243,293,141.1319678,-2.62401,20.664306,20.664306
59164117,3.26674138,2.98276107,1.0,20.613837,2.293,6.678,3783,55246,186,150.6602137,-2.3878558,20.738031,20.738031
52991975,2.54601524,2.30661924,1.0,20.464946,3.504,5.695,3784,55269,106,154.5251102,-3.2239679,20.308806,20.308806
54592129,2.56832354,2.39065975,1.0,20.697021,3.157,5.404,3786,55563,336,161.6537193,-2.9493436,20.578581,20.578581
58238572,3.24811834,2.83428367,1.0,20.897331,1.068,3.857,3788,55246,56,169.5408881,-2.589171,20.928047,20.928047
59267470,2.894743,2.43624571,1.0,20.566387,1.26,3.763,3790,55208,429,176.4913382,-2.4615386,20.564276,20.564276
57343834,2.45199954,2.324944,1.0,20.429784,7.681,9.398,4020,55332,134,225.623283,-2.6328749,20.386525,20.386525
59684081,2.77378178,2.34567849,1.0,20.711201,1.405,3.484,4023,55328,308,222.1382572,-2.4074322,20.717442,20.717442
58516617,2.74280008,2.63399506,1.0,20.4233,2.229,5.08,4032,55333,306,215.389561,-2.5693926,20.60383,20.60383
56972241,2.50989042,2.19362696,1.0,20.456646,1.975,3.151,4032,55333,447,214.7820681,-2.797571,20.452771,20.452771
53236053,3.28622346,2.82106437,1.0,21.063464,1.608,4.299,4044,55359,98,207.5786086,-3.1797417,20.92948,20.92948
59345703,3.44266307,3.04281869,1.0,21.158412,1.601,5.366,4044,55359,840,207.0006847,-2.371323,21.092202,21.092202
51957561,3.69672455,3.38514816,1.0,20.414607,2.046,5.419,4047,55352,42,205.8177599,-3.4539132,20.534817,20.534817
54342487,3.1973507,2.7539147,1.0,20.490552,3.935,9.464,4047,55352,142,205.2802675,-3.061739,20.388442,20.388442
58566830,3.44186188,2.86887148,1.0,20.648295,2.376,6.907,4047,55352,634,204.3617605,-2.4488661,20.669716,20.669716
60091152,2.56119823,2.39847718,1.0,20.514425,8.777,10.378,4047,55352,833,205.0072174,-2.1427757,20.412555,20.412555
56689797,3.13042715,2.77037336,1.0,20.960682,1.316,3.167,4053,55591,66,199.0459482,-2.7639145,20.8749,20.8749
57391553,2.94690824,2.87689778,1.0,20.925467,1.571,3.458,4344,55557,194,38.0698241,-2.5741135,20.959495,20.959495
56250459,3.45257873,2.82018354,1.0,20.365832,0.906,3.045,4347,55830,488,29.6777983,-2.8122188,20.344515,20.344515
53237109,2.85714466,2.53414456,1.0,20.693412,1.446,3.496,4348,55559,242,27.7946241,-3.3066819,20.884816,20.884816
52023508,3.14375333,3.03816711,1.0,20.554082,1.287,4.091,4348,55559,410,26.9533537,-3.4097836,20.321391,20.321391
60283511,2.75118593,2.31958932,1.0,20.986751,4.259,6.769,4348,55559,538,27.0176242,-2.2139655,20.939864,20.939864
54545244,2.31813288,2.18554908,1.0,20.727074,1.91,3.038,4349,55803,450,27.9032328,-3.0996823,20.797993,20.797993
53120625,3.01972822,2.50335722,1.0,20.570469,2.61,5.388,4350,55556,248,25.9217735,-3.3734363,20.579668,20.579668
54173477,2.65321318,2.16945248,1.0,20.91709,2.202,4.006,4351,55538,400,22.9218716,-3.0979966,20.767644,20.767644
58177338,3.42782157,3.20227455,1.0,20.491175,1.852,6.175,4353,55532,156,19.7625766,-2.5762732,20.716623,20.716623
61153886,3.17541159,3.00667567,1.0,20.410208,1.59,4.14,4353,55532,774,19.348895,-2.0236607,20.547269,20.547269
56176577,2.99671914,2.63985682,1.0,21.120622,1.213,3.106,4354,55810,428,359.4554675,-2.7247184,21.003462,21.003462
59206073,3.31907662,2.87600369,1.0,20.379001,0.893,3.108,4355,55533,517,357.0554167,-2.2747086,20.681597,20.681597
56453745,2.9373529,2.83163676,1.0,20.545912,2.67,5.905,4357,55829,433,353.9248598,-2.7331315,20.489195,20.489195
53965776,2.67855769,2.48404921,1.0,20.594012,3.711,7.536,4359,55533,455,349.9402354,-3.1612133,20.681786,20.681786
55341546,3.24401331,2.87957602,1.0,20.401207,1.31,3.862,4360,55539,118,349.3764049,-3.0115464,20.387704,20.387704
59762966,2.65397917,2.39769395,1.0,20.380923,4.18,8.182,4360,55539,238,348.959312,-2.3294239,20.426899,20.426899
58276868,2.61300905,2.19951624,1.0,20.559749,1.32,3.151,4360,55539,276,348.8212585,-2.5713513,20.50297,20.50297
53032475,2.46978737,2.28385819,1.0,20.895676,4.617,6.472,4362,55828,192,345.1381858,-3.2042238,21.003095,21.003095
56220738,2.53827794,2.19289233,1.0,20.630419,2.154,4.604,4363,55537,436,340.3487924,-2.7707426,20.456402,20.456402
56036374,3.33169129,2.91457231,1.0,21.217349,1.57,3.907,4365,55539,108,3.0926308,-2.7602623,21.29649,21.29649
52130221,2.33940139,2.28234616,1.0,20.56052,2.877,3.312,4367,55566,209,6.4939863,-3.3629746,20.625003,20.625003
60527807,3.54563532,3.25779065,1.0,20.533967,1.416,4.031,4368,55559,854,8.5430495,-2.2516812,20.48799,20.48799
57625102,2.95525866,2.70923408,1.0,20.781768,4.067,8.392,4369,55827,236,10.078674,-2.5218176,20.695423,20.695423
59082544,2.53000181,2.35957438,1.0,21.22936,1.844,3.179,4369,55827,237,10.015054,-2.479123,21.246451,21.246451
54697678,3.04854135,2.52763934,1.0,20.643988,1.537,3.351,4369,55827,456,8.8343536,-3.0481602,20.450204,20.450204
52309524,3.17602544,2.64824702,1.0,20.507414,1.884,4.577,4370,55534,204,11.8527246,-3.4715916,20.445662,20.445662
53770042,3.30229561,3.04654445,1.0,20.484242,2.801,7.279,4373,55811,296,17.0767332,-3.2015496,20.303297,20.303297
58736319,2.57686138,2.45369767,1.0,20.862814,3.975,5.668,4374,55883,498,324.7039288,-2.4973816,20.863682,20.863682
55206110,3.52769473,3.22458654,1.0,20.563497,10.236,19.862,4375,55889,144,328.3812527,-2.9205978,20.596319,20.596319
54441848,2.38845999,2.20320164,1.0,20.481825,2.332,3.343,4375,55889,213,328.1312916,-3.0633607,20.415365,20.415365
55306913,3.17603792,2.97085839,1.0,20.795003,1.643,4.905,4375,55889,298,327.8743346,-3.0153932,20.797287,20.797287
60315175,2.68441233,2.22243554,1.0,20.386897,1.685,3.511,4377,55828,854,332.1745935,-2.2137712,20.434393,20.434393
59442118,2.60556657,2.42439852,1.0,20.885578,2.271,4.06,4380,55857,74,338.2718097,-2.3952598,21.095246,21.095246
59538968,2.42349991,2.32341308,1.0,20.626235,2.077,3.531,4380,55857,155,337.7361382,-2.2537075,20.70644,20.70644
55283611,2.89676198,2.60980853,1.0,20.264737,1.782,5.348,4380,55857,316,336.8987792,-2.9941454,20.329915,20.329915
52440530,3.06073329,2.64488998,1.0,20.487246,4.427,8.743,4381,55824,230,339.2727697,-3.352416,20.47966,20.47966
49720958,2.61215492,2.16726426,1.0,20.922276,3.024,4.393,4386,55540,966,39.5491959,-3.9586808,21.132299,21.132299
48927744,2.40872179,2.24701428,1.0,20.457564,7.422,6.322,4386,55540,989,39.7844792,-4.2989871,20.335036,20.335036
52809438,3.06346462,2.69899974,1.0,20.585571,6.098,7.608,4393,55944,544,31.022334,-3.3791557,20.79361,20.79361
53966474,3.66086134,3.08774995,1.0,20.576051,2.117,4.789,6369,56217,748,35.7831594,-3.144508,20.752796,20.752796
49674731,2.86960132,2.48244459,1.0,20.347716,1.904,3.832,7034,56564,506,359.1638013,-4.1040237,20.3865,20.3865
49939218,3.20696487,2.99930287,1.0,21.152875,1.156,3.257,7034,56564,634,359.9002164,-3.9427356,21.113821,21.113821
49542063,3.28642871,3.06803185,1.0,20.878714,1.796,4.813,7035,56568,882,2.7639459,-4.1427641,20.89416,20.89416
48722087,2.65068961,2.4688401,1.0,20.659182,3.884,6.086,7038,56571,688,6.4366374,-4.3609508,20.625531,20.625531
50424163,2.99023859,2.84666392,1.0,20.598302,3.901,7.663,7048,56575,542,22.2055017,-3.7833793,20.705116,20.705116
50104505,3.26840762,3.04375094,1.0,20.72477,3.034,6.86,7053,56564,804,41.3839425,-4.014341,20.671699,20.671699
51569005,3.23613225,2.79825753,1.0,20.368162,1.944,4.861,7054,56575,870,44.0364047,-3.5833932,20.454979,20.454979
59894711,2.45923433,2.36731931,1.0,20.739669,2.312,3.177,7823,56978,740,43.2488661,-2.2018954,20.618481,20.618481
52983540,2.97917795,2.7100896,1.0,20.434472,1.719,4.35,7826,56931,214,41.1913876,-3.2853941,20.5366,20.5366
56221485,2.50483042,2.2537509,1.0,20.632482,1.77,3.286,7841,56960,258,29.6020857,-2.8230729,20.448725,20.448725
55717553,3.59299371,3.04281902,1.0,20.216395,1.096,3.509,7845,56980,268,25.0926066,-2.821785,20.396365,20.396365
61079523,2.30884839,2.13967215,1.0,20.472472,1.964,3.259,7875,56980,238,18.2553408,-2.1180442,20.680113,20.680113
61027844,3.47715762,3.16854227,1.0,20.75246,1.205,3.641,7875,56980,392,17.614223,-2.2164572,20.910171,20.910171
50883142,3.01881245,2.6921922,1.0,20.867543,1.041,3.506,7885,57336,653,32.4489761,-3.7812612,20.794654,20.794654
51037421,2.93376014,2.51062318,1.0,20.978679,2.028,6.218,7892,57333,654,27.9372078,-3.677613,21.077933,21.077933
52998587,3.79945544,3.56440635,1.0,20.742714,1.145,3.457,7894,57339,813,24.253323,-3.3682631,20.430374,20.430374
50948175,2.58899907,2.38753969,1.0,20.670429,1.688,3.657,7914,57331,810,19.4705025,-3.7442092,20.447334,20.447334
51596653,3.00748761,2.62480155,1.0,20.458419,3.825,9.783,7914,57331,888,19.8675901,-3.6141163,20.556624,20.556624
57947675,2.95827099,2.76430113,1.0,20.546143,3.241,7.374,7915,57309,672,16.4031754,-2.659193,20.623015,20.623015
56197185,2.94697962,2.47283621,1.0,20.526227,5.6,6.891,9340,57716,946,10.9558019,-2.9005303,20.692345,20.692345
70310550,3.14549428,2.74269363,1.0,20.515034,1.003,3.089,3767,55214,841,144.0292064,-1.2306194,20.573598,20.573598
73695585,2.42035873,2.35648103,1.0,20.430861,3.416,3.342,3770,55234,664,155.8107332,-0.9492325,20.587678,20.587678
71617470,3.72501971,3.46358919,1.0,20.447891,0.765,3.425,3770,55234,751,156.051808,-1.0562268,20.441654,20.441654
66625080,3.48049112,2.8528691,1.0,20.251009,1.025,3.745,3771,55544,974,161.1895931,-1.2990305,20.352527,20.352527
65204528,3.58767254,3.28335686,1.0,20.438281,1.662,6.699,3776,55209,934,180.3377529,-1.6300072,20.649815,20.649815
65115018,3.12645802,2.77732402,1.0,20.581726,1.672,4.858,3777,55210,564,183.5656895,-1.5774642,20.615535,20.615535
65115249,3.20826815,2.64740796,1.0,20.754157,1.021,3.63,3777,55210,610,183.661314,-1.5534847,20.693278,20.693278
65112622,3.42050774,3.15321467,1.0,20.412555,1.36,4.586,3777,55210,680,183.8466152,-1.5598812,20.418615,20.418615
65036425,3.46965278,3.24311092,1.0,20.409673,1.876,5.779,3780,55240,398,136.6521521,-1.5989319,20.348767,20.348767
63814458,3.37695413,2.91908131,1.0,20.535675,4.332,12.767,3781,55243,33,142.510877,-1.7611676,20.499494,20.499494
63989675,2.60908478,2.54800531,1.0,20.493433,1.774,3.328,3783,55246,552,149.3215004,-1.6954534,20.53962,20.53962
64881060,3.10464703,3.00114527,1.0,20.99485,2.432,5.2,3786,55563,968,163.0701658,-1.6228011,20.949735,20.949735
73534542,3.03339339,2.63985682,0.9375,20.26095,2.088,6.839,3787,55565,552,164.1080247,-0.8621506,20.543174,20.543174
73915555,3.27560833,2.95261316,1.0,20.446062,2.146,4.955,3789,55269,544,171.3827647,-1.0128938,20.421166,20.421166
62160920,2.59625272,2.17164372,1.0,20.488541,2.961,5.611,3793,55214,440,190.0439714,-2.0219262,20.605159,20.605159
66543978,3.33906123,2.83693375,1.0,20.53588,1.455,4.025,3834,56014,168,161.4307085,-1.4302913,20.63743,20.63743
69860005,3.39710009,2.93989191,1.0,20.689323,6.476,12.033,3837,55572,290,166.954738,-1.208547,20.710774,20.710774
70320811,3.69030496,3.11987842,1.0,20.437531,0.879,3.091,4012,55327,260,231.0761308,-1.0869549,20.336313,20.336313
62241193,3.56321777,3.31304768,1.0,20.317165,3.588,8.064,4026,55325,688,219.5957294,-1.9327577,20.54195,20.54195
62455024,3.06138379,2.67607375,1.0,20.445444,1.413,3.188,4026,55325,890,220.5851859,-1.9134082,20.40848,20.40848
