ID,ra,dec,zDLA,NHI,SNR_FOREST,status,SiII1526_sigma,SiII1526_dv,SiII1526_3sigUL,CII1334_sigma,CII1334_dv,CII1334_3sigUL,OI1302_sigma,OI1302_dv,OI1302_3sigUL,AlII1670_sigma,AlII1670_dv,AlII1670_3sigUL,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,max_3sig_UL
39628061649405846,40.63109741114896,11.561496009711082,2.242069906452737,20.52895053621189,9.899946386844585,ok,23.888849286151245,0.0,0.0918591400677155,19.70785016197129,-500.0,0.1493110006110724,7.673787503842048,200.0,0.1911120809660443,14.355094762321228,100.0,0.0844792118988934,4,"SiII1526,CII1334,OI1302,AlII1670",False,True,False,0.1911120809660443
39628067580152759,41.2081571666902,11.81498157041868,2.2064728435082346,20.45772210562616,5.837384771987998,ok,7.838612742584317,100.0,0.1466732887252079,13.174339865537265,150.0,0.1802279613709338,1.020649238880485,100.0,0.2190309165092324,6.860598049193009,100.0,0.1876411353777668,4,"SiII1526,CII1334,AlII1670",True,True,False,0.2190309165092324
39628067563376654,40.23552622602188,11.844946673113604,2.459889982523044,20.402661045503045,10.043459637650408,ok,0.4080772891792412,-450.0,0.1257329479476499,13.848171733948766,0.0,0.0749214327483958,2.472712473081683,500.0,0.1436135391566299,3.2406496351388325,-400.0,0.1314826536109787,4,CII1334,False,True,False,0.1436135391566299
39628073473152434,39.57396547998722,11.91825177259678,2.673233090805782,20.401337200307765,6.15596763833562,ok,5.55989754445431,-100.0,0.1310316889121335,19.622249051494617,-100.0,0.0677318570807273,12.441013108376916,-500.0,0.0935951737845838,9.749056463504791,150.0,0.0900657504185906,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1310316889121335
39628073473152434,39.57396547998722,11.91825177259678,2.002364640645168,21.51126490790835,6.15596763833562,ok,18.95793403258629,50.0,0.1638916015211586,5.121876118354274,500.0,0.3374736331459253,3.618275811150759,0.0,0.5222531154799268,5.76448619314291,250.0,0.1297780205298781,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.5222531154799268
39628085301084706,39.90833460592423,12.424589031794968,2.9758202795468898,20.35286381121477,10.988362066831469,ok,59.58378164521505,50.0,0.0445785308293421,103.5069875347941,50.0,0.0232216754135877,48.90104586921271,50.0,0.0476579015140656,86.99119375757311,0.0,0.0390686566144793,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.0476579015140656
39628097116441536,40.95049556398819,12.912265608828124,2.8092022173103888,20.537788548461688,5.954778136438853,ok,5.83728996452035,100.0,0.2028089963758601,14.664792497845973,-150.0,0.1284531494096144,15.281267256131352,-100.0,0.1138045561828507,10.393093364796592,-150.0,0.1353670993712886,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2028089963758601
39628073464760097,38.894819972299,12.071881374715511,3.542260685841764,20.760018198847,14.229279470146777,ok,38.92707167455625,0.0,0.0413842524054682,47.88512696467358,0.0,0.0357508647860501,59.00377409190039,0.0,0.0239071708793183,35.32102421686959,0.0,0.0437116404528169,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.0437116404528169
39628114753487182,39.61667682126523,13.711490942274647,2.691613877585077,20.85655304123013,7.628976599937438,ok,1.3071790630075486,-150.0,0.1156481658954304,3.4787209380797077,-50.0,0.0962537980431685,0.2969652076611935,500.0,0.0726382811957317,3.626058770724774,-100.0,0.087355393584166,4,"CII1334,AlII1670",True,True,False,0.1156481658954304
39628091231833295,41.6113482442582,12.810815737657038,2.1798479273024114,21.04925211380372,5.2478615265013255,ok,12.885961663260092,100.0,0.1111239632595273,17.76673793935372,50.0,0.1163470381136301,17.341632699663162,50.0,0.0835597618862136,16.500825232326168,50.0,0.1163172952134181,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1163470381136301
39628132394731767,42.44381815017896,14.421736924692013,2.970265111006404,20.336078697028288,8.26366436727608,ok,1.8471592718797156,450.0,0.1141200710149759,15.808296405968736,200.0,0.1018137701362427,18.97190760433016,50.0,0.1160176540844937,4.371763220337304,500.0,0.106968666088818,4,"CII1334,OI1302,AlII1670",False,True,False,0.1160176540844937
39628037775429725,33.45700834341246,10.484498091400411,2.4408391758478483,21.48165977008234,7.569364959751883,ok,19.62579317713051,0.0,0.0902980068476239,31.08480828683273,0.0,0.0793445657694582,21.53362672767282,0.0,0.0764493489368472,19.18164811254413,0.0,0.1232338502515603,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1232338502515603
39628031848874321,34.540796812927255,10.325761211274395,2.774363577634267,21.469849391979853,9.363014665390947,ok,47.69561201242532,0.0,0.0646204315083409,63.85693998792232,0.0,0.0399115682500175,98.45326977039994,50.0,0.0253611193180114,69.63521094320147,0.0,0.0459400641952432,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.0646204315083409
39628043706175962,32.537745002271926,10.780229933461996,2.018065025094532,20.749707177634765,23.10969628088935,ok,46.7291346010015,0.0,0.0387074339925801,43.09180759797254,-350.0,0.0361251621578785,40.15159720089016,-50.0,0.040611264869035,51.49848483669332,0.0,0.0363914550102553,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.040611264869035
39628055592832531,33.0790904042425,11.143282582312512,2.5441295974639817,20.816462214297715,5.03977894864192,ok,10.251181899610632,50.0,0.1308443755810782,9.015117360919698,50.0,0.1488766215226704,5.5536592118651,50.0,0.1394512791968083,6.710697144268039,50.0,0.1406595313873975,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1488766215226704
