ID,survey,z_abs,line,lam_obs_nm,arm,band_used,mag_cont,z_qso,forest_applies,mag_corr,mag_eff,sn_at_1hr,EW3sig_1hr_A,EW3sig_2hr_A,note
39627932607450554,DESI,2.655987785122647,AlII1670,610.549960115482,VIS,rmag,20.2168,2.83010995336816,False,0.0,20.2168,15.60558307681821,0.08213905793460967,0.05808108486583719,
39628029600728208,DESI,2.4450306987748185,SiII1526,525.7116846330373,UVB,gmag,20.1338,2.632546996246901,False,0.0,20.1338,26.698078151050076,0.0719589324997722,0.05088264913753396,
39628029600728208,DESI,2.4450306987748185,CII1334,459.5670952165608,UVB,gmag,20.1338,2.632546996246901,False,0.0,20.1338,35.194921429127376,0.04771841479565273,0.033742014689478524,
39628029600728208,DESI,2.4450306987748185,OI1302,448.54299698048135,UVB,gmag,20.1338,2.632546996246901,False,0.0,20.1338,35.194921429127376,0.0465737451753672,0.032932611038756394,
39628029600728208,DESI,2.4450306987748185,AlII1670,575.3201266953947,VIS,rmag,19.8311,2.632546996246901,False,0.0,19.8311,22.26178581485598,0.05425728745104973,0.038365695885425016,
39628353837207447,DESI,2.2244146316574,SiII1526,492.04567279091924,UVB,gmag,19.4728,2.377078358719489,False,0.0,19.4728,64.69638283373071,0.02779345255254878,0.019652938772493803,
39628353837207447,DESI,2.2244146316574,CII1334,430.13691186309717,UVB,gmag,19.4728,2.377078358719489,False,0.0,19.4728,64.69638283373071,0.024296504393905682,0.017180223016059454,
39628353837207447,DESI,2.2244146316574,OI1302,419.81878504179343,UVB,gmag,19.4728,2.377078358719489,False,0.0,19.4728,64.69638283373071,0.023713679700798497,0.016768103723320393,
39628353837207447,DESI,2.2244146316574,AlII1670,538.4772434867858,UVB,gmag,19.4728,2.377078358719489,False,0.0,19.4728,49.07722520317112,0.0400963127210305,0.028352374625617092,
39628468111017219,DESI,4.072698537279735,SiII1526,774.0937967888876,VIS,imag,19.557,4.152287530689613,False,0.0,19.557,28.654972763642427,0.05671554341529764,0.040103945347637,
39628468111017219,DESI,4.072698537279735,CII1334,676.6979848731168,VIS,rmag,19.9441,4.152287530689613,False,0.0,19.9441,20.061342844853364,0.07081795695893886,0.05007585759544271,
39628468111017219,DESI,4.072698537279735,OI1302,660.4653495538215,VIS,rmag,19.9441,4.152287530689613,False,0.0,19.9441,20.061342844853364,0.06911917538271242,0.048874637623138234,
39628468111017219,DESI,4.072698537279735,AlII1670,847.1406557257158,VIS,zmag,19.5027,4.152287530689613,False,0.0,19.5027,30.1245105908135,0.059039685466933195,0.041747361952789316,
220877041,SDSS,3.11987842,SiII1526,628.693446892,VIS,rmag,19.2984,3.12,False,0.0,19.2984,36.36135007989789,0.03630006844453641,0.025668024554667504,
220877041,SDSS,3.11987842,CII1334,549.5917812280001,UVB,rmag,19.2984,3.12,False,0.0,19.2984,57.62885621032554,0.03485116591822435,0.02464349575303392,
220877041,SDSS,3.11987842,OI1302,536.408170284,UVB,gmag,19.6089,3.12,False,0.0,19.6089,43.295224904229315,0.045276460280364875,0.03201529209236938,
220877041,SDSS,3.11987842,AlII1670,688.01969614,VIS,imag,19.0632,3.12,False,0.0,19.0632,45.156471597268,0.031988168971980396,0.022619051197828453,
39628309717322250,DESI,2.6535545142856507,SiII1526,557.5324188799902,UVB,rmag,20.4281,2.846769781190515,False,0.0,20.4281,20.359166776406234,0.10007537071069678,0.07076397325929129,
39628309717322250,DESI,2.6535545142856507,CII1334,487.38417220570585,UVB,gmag,20.985,2.846769781190515,False,0.0,20.985,16.06941253012878,0.11083795479840801,0.07837426945080234,
39628309717322250,DESI,2.6535545142856507,OI1302,475.69279775999166,UVB,gmag,20.985,2.846769781190515,False,0.0,20.985,16.06941253012878,0.10817917327400839,0.07649422700520585,
39628309717322250,DESI,2.6535545142856507,AlII1670,610.1436038857037,VIS,rmag,20.4281,2.846769781190515,False,0.0,20.4281,12.845765805070656,0.09971961045056273,0.0705124127668738,
39628190045439524,DESI,2.705039678422576,SiII1526,565.3890549272851,VIS,rmag,20.1319,2.8570562709872918,False,0.0,20.1319,16.874853066089855,0.07034219356255739,0.04973944207162105,
39628190045439524,DESI,2.705039678422576,CII1334,494.2522931015717,UVB,gmag,20.3395,2.8570562709872918,False,0.0,20.3395,29.120578615296957,0.06202485748313047,0.043858197328450726,
39628190045439524,DESI,2.705039678422576,OI1302,482.39616613061935,UVB,gmag,20.3395,2.8570562709872918,False,0.0,20.3395,29.120578615296957,0.060537004829861955,0.04280612662791817,
39628190045439524,DESI,2.705039678422576,AlII1670,618.7416262965702,VIS,rmag,20.1319,2.8570562709872918,False,0.0,20.1319,16.874853066089855,0.07697998902324435,0.05443307225400207,
191300069,SDSS,2.30890547,SiII1526,504.938974722,UVB,gmag,20.206,2.31173,False,0.0,20.206,24.980435187141488,0.07386793800209679,0.05223251987355011,
191300069,SDSS,2.30890547,CII1334,441.407989698,UVB,gmag,20.206,2.31173,False,0.0,20.206,32.93062701752086,0.04898434125179349,0.03463715987109911,
191300069,SDSS,2.30890547,OI1302,430.81949219399996,UVB,gmag,20.206,2.31173,False,0.0,20.206,32.93062701752086,0.047809304580086295,0.03380628347239209,
191300069,SDSS,2.30890547,AlII1670,552.58721349,UVB,rmag,19.8287,2.31173,False,0.0,19.8287,35.360630489756396,0.05710812659038139,0.04038154357291846,
39627789938203693,DESI,2.142762907020656,SiII1526,479.5856196113521,UVB,gmag,20.1278,2.562433664915888,False,0.0,20.1278,35.389954151550185,0.04952257682872724,0.03501774989742482,
